class,order,family,genus,species,rank,author,sci_name,S_001_01,S_001_02,S_001_03,S_002_01,S_002_02,S_002_03,S_003_01,S_003_02,S_003_03,S_004_01,S_004_02,S_004_03,S_005_03,S_005_02,S_005_01,S_006_01,S_006_02,S_006_03,S_007_01,S_007_02,S_007_03,S_008_01,S_008_02,S_008_03,S_009_01,S_009_02,S_009_03,S_010_01,S_011_01,S_012_01,S_013_01,S_013_02,S_014_01,S_015_01,S_016_01,S_017_01,S_018_01,S_018_02,S_021_01,S_022_01,S_023_01,S_024_01,S_025_01,S_026_01,S_027_01,S_027_02,S_028_01,S_029_01,S_029_02,S_030_01,S_030_02,S_032_01,S_032_02,S_031_01,S_033_01,S_034_01,S_035_01,S_039_01,S_040_01,S_040_02,S_041_01,S_041_02,S_046_01,S_046_02,S_047_01,S_047_02,S_048_01,S_048_02
Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,stepposa,SPECIES,Zoz ex Prokh.,Euphorbia stepposa Zoz ex Prokh.,7,5,3,0,3,0,0,0,0,0,0,0,0,0,0,20,15,0,10,5,0,0,0,0,4,6,0,0,0,0,7,5,6,7,0,6,5,1,9,0,2,4,0,0,9,7,0,5,6,0,0,4,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
Magnoliopsida,Malpighiales,Hypericaceae,Hypericum,elegans,SPECIES,Steph. ex Willd.,Hypericum elegans Steph. ex Willd.,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,illyricus,SPECIES,L.,Ranunculus illyricus L.,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnoliopsida,Ranunculales,Ranunculaceae,Thalictrum,minus,SPECIES,L.,Thalictrum minus L.,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,5,20,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnoliopsida,Rosales,Rosaceae,Filipendula,vulgaris,SPECIES,Moench,Filipendula vulgaris Moench,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Magnoliopsida,Rosales,Rosaceae,Poterium,sanguisorba,SPECIES,L.,Poterium sanguisorba L.,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnoliopsida,Solanales,Convolvulaceae,Convolvulus,arvensis,SPECIES,L.,Convolvulus arvensis L.,1,0,0,0,0,1,1,0,1,1,0,0,3,4,4,1,0,1,4,1,0,0,8,2,0,0,0,18,7,10,0,0,3,2,0,0,0,0,0,0,0,6,0,0,7,6,0,7,0,7,15,2,3,2,0,1,0,0,1,2,0,0,0,1,5,0,0,0
Liliopsida,Poales,Poaceae,Bromus,tectorum,SPECIES,L.,Bromus tectorum L.,0,0,0,0,15,0,0,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liliopsida,Poales,Poaceae,Stipa,capillata,SPECIES,L.,Stipa capillata L.,0,0,0,0,1,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2,0,9,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,1,0,0,0,0,5,0,0,0,0,9
Magnoliopsida,Asterales,Asteraceae,Achillea,stepposa,SPECIES,Klokov & Krytzka,Achillea stepposa Klokov & Krytzka,0,0,0,7,0,0,0,0,0,0,15,3,20,10,6,0,0,16,6,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
